model,analysis,group,n,value,secondary_value,tertiary_value,units
csp_4_empirical,held_out_run_distribution,run_6,86,0.6696428571428572,0.5200892857142857,0.8013392857142858,balanced_accuracy_median_q25_q75
csp_4_empirical,held_out_run_distribution,run_10,86,0.6205357142857143,0.5267857142857143,0.7745535714285714,balanced_accuracy_median_q25_q75
csp_4_empirical,held_out_run_distribution,run_14,86,0.6696428571428572,0.5513392857142858,0.8035714285714286,balanced_accuracy_median_q25_q75
csp_4_empirical,prediction_accuracy_by_qc_status,not_flagged,3241,0.6726319037334156,,,ordinary_prediction_accuracy
csp_4_empirical,prediction_accuracy_by_qc_status,statistical_candidate,599,0.67779632721202,,,ordinary_prediction_accuracy
csp_4_empirical,trial_counterbalance,7_fists_8_feet,141,0.6428571428571428,,,fold_balanced_accuracy_median
csp_4_empirical,trial_counterbalance,8_fists_7_feet,117,0.6607142857142857,,,fold_balanced_accuracy_median
csp_4_empirical,below_or_at_chance_subject_run_pattern,at_least_two_above_chance_folds_despite_subject_score_le_0_5,11,0,11,,driven_by_one_low_run_count_vs_not_count
spectral_baseline_6,held_out_run_distribution,run_6,86,0.6071428571428572,0.48214285714285715,0.6852678571428572,balanced_accuracy_median_q25_q75
spectral_baseline_6,held_out_run_distribution,run_10,86,0.5982142857142857,0.4732142857142857,0.6785714285714286,balanced_accuracy_median_q25_q75
spectral_baseline_6,held_out_run_distribution,run_14,86,0.5982142857142857,0.49107142857142855,0.6674107142857143,balanced_accuracy_median_q25_q75
spectral_baseline_6,prediction_accuracy_by_qc_status,not_flagged,3241,0.5948781240357914,,,ordinary_prediction_accuracy
spectral_baseline_6,prediction_accuracy_by_qc_status,statistical_candidate,599,0.5809682804674458,,,ordinary_prediction_accuracy
spectral_baseline_6,trial_counterbalance,7_fists_8_feet,141,0.5982142857142857,,,fold_balanced_accuracy_median
spectral_baseline_6,trial_counterbalance,8_fists_7_feet,117,0.5982142857142857,,,fold_balanced_accuracy_median
spectral_baseline_6,below_or_at_chance_subject_run_pattern,at_least_two_above_chance_folds_despite_subject_score_le_0_5,22,3,19,,driven_by_one_low_run_count_vs_not_count
