subject,csp_balanced_accuracy,c4_fixed_fists_erd_median_percent,c3_fixed_fists_erd_median_percent,historical_central_peak_available,historical_central_peak_frequency_hz,historical_central_peak_well_defined,imf_study_subject,imf_method_available,imf_peak_frequency_median_hz,imf_three_fold_peak_span_hz,analysis_role
21,0.5654761904761905,-26.90176377114203,-12.259718577176661,False,,False,True,True,12.25,1.0,post_evaluation_exploratory_only
22,0.7351190476190478,-21.144839376033207,-17.31219376837369,True,8.0,True,False,False,,,post_evaluation_exploratory_only
23,0.5178571428571429,-37.293666120911354,-35.50477461258217,True,10.0,True,True,True,10.0,0.5,post_evaluation_exploratory_only
24,0.44940476190476186,23.555748775280115,22.951331186563127,True,8.0,True,False,False,,,post_evaluation_exploratory_only
25,0.7559523809523809,-60.2282614363307,-67.83060241653021,True,11.0,True,True,True,10.5,0.0,post_evaluation_exploratory_only
26,0.5,8.263761628333782,7.124884251606901,False,,False,False,False,,,post_evaluation_exploratory_only
27,0.6577380952380952,-26.628602294274103,-21.574964948228093,True,11.0,True,True,True,10.75,1.0,post_evaluation_exploratory_only
28,0.574404761904762,-65.11904077410173,-45.66168198071819,True,8.0,True,False,False,,,post_evaluation_exploratory_only
29,0.9791666666666666,-58.79576034233682,-47.68437294869773,True,11.0,True,True,True,10.75,0.75,post_evaluation_exploratory_only
30,0.6607142857142857,-14.938883395811999,-50.26004981522786,True,10.0,True,False,False,,,post_evaluation_exploratory_only
31,0.8452380952380952,-26.966482337711476,-10.772546479517386,True,8.0,True,True,True,7.75,0.0,post_evaluation_exploratory_only
32,0.5178571428571429,-42.53106065507518,-43.449539720284974,False,,False,False,False,,,post_evaluation_exploratory_only
33,0.6636904761904763,-58.80836743229014,-72.33253395533387,True,10.0,True,True,True,10.5,0.25,post_evaluation_exploratory_only
34,0.880952380952381,-68.31150045010355,-65.17693134780573,True,10.0,True,False,False,,,post_evaluation_exploratory_only
35,0.9523809523809524,-56.82824953381566,-46.98298038912555,True,11.0,True,True,True,10.0,0.0,post_evaluation_exploratory_only
36,0.7738095238095238,-33.13495683659151,-42.79808883878873,True,9.0,True,False,False,,,post_evaluation_exploratory_only
37,0.6190476190476191,10.64848674401776,-1.9915901453110485,True,8.0,True,True,True,12.25,0.5,post_evaluation_exploratory_only
38,0.5267857142857143,-1.0652502093736727,-1.4684808093771728,True,10.0,True,False,False,,,post_evaluation_exploratory_only
39,0.6101190476190476,18.66285630165879,-10.686809674868877,True,8.0,True,True,False,,,post_evaluation_exploratory_only
40,0.5744047619047619,3.2656553126170147,-9.134915156834726,True,8.0,True,False,False,,,post_evaluation_exploratory_only
41,0.5476190476190476,-20.064098658087005,-7.699075014248769,True,8.0,True,True,True,10.75,2.25,post_evaluation_exploratory_only
42,0.9791666666666666,-74.44037992192298,-54.88700487252449,True,13.0,True,False,False,,,post_evaluation_exploratory_only
43,0.9523809523809524,-67.3075542103,-64.9486490066507,True,11.0,True,True,True,11.5,0.0,post_evaluation_exploratory_only
44,0.755952380952381,-45.41223673475465,-35.98089315286186,True,10.0,True,False,False,,,post_evaluation_exploratory_only
45,0.5833333333333334,-39.55574257351511,-53.849200282623,True,8.0,True,True,True,11.5,0.5,post_evaluation_exploratory_only
46,0.6904761904761906,-20.295668553361324,-14.530223198599943,True,8.0,True,False,False,,,post_evaluation_exploratory_only
47,0.42857142857142855,-10.045212303700644,-8.069582120204913,True,9.0,True,True,True,9.75,1.0,post_evaluation_exploratory_only
48,0.7916666666666666,-26.669125066988727,-67.08305465428913,True,8.0,True,False,False,,,post_evaluation_exploratory_only
49,0.6726190476190476,-36.60856044218058,-32.15997617043332,True,8.0,True,True,False,,,post_evaluation_exploratory_only
50,0.6666666666666666,35.889381055152455,-16.291741220890707,False,,False,False,False,,,post_evaluation_exploratory_only
51,0.6428571428571429,-4.632648550353714,-15.218183417407158,True,8.0,True,True,True,11.75,2.0,post_evaluation_exploratory_only
52,0.8452380952380952,-53.91419813820772,-70.14343145167524,True,11.0,True,False,False,,,post_evaluation_exploratory_only
53,0.46428571428571425,-7.034766607802186,-12.506164772110187,True,11.0,True,True,True,11.75,1.0,post_evaluation_exploratory_only
54,0.6845238095238094,-53.76893068295194,-61.97224154723795,True,10.0,True,False,False,,,post_evaluation_exploratory_only
