accuracy,balanced_accuracy,feet_recall,fists_recall,fold,macro_f1,model,qc_sensitivity,roc_auc,subject,test_run,training_runs,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists
0.4666666666666667,0.49107142857142855,0.8571428571428571,0.125,1,0.4,spectral_baseline_6,False,0.4642857142857143,21,6,10/14,15,6,1,7,1
0.3333333333333333,0.33035714285714285,0.2857142857142857,0.375,2,0.33035714285714285,spectral_baseline_6,False,0.30357142857142855,21,10,6/14,15,2,5,5,3
0.5333333333333333,0.5267857142857143,0.42857142857142855,0.625,3,0.5248868778280543,spectral_baseline_6,False,0.6071428571428571,21,14,6/10,15,3,4,3,5
0.25,0.3333333333333333,0.6666666666666666,0.0,1,0.2,spectral_baseline_6,True,0.19999999999999998,21,6,10/14,8,2,1,5,0
0.3333333333333333,0.33035714285714285,0.2857142857142857,0.375,2,0.33035714285714285,spectral_baseline_6,True,0.3214285714285714,21,10,6/14,15,2,5,5,3
0.6666666666666666,0.6607142857142857,0.5714285714285714,0.75,3,0.660633484162896,spectral_baseline_6,True,0.5,21,14,6/10,15,4,3,2,6
0.6,0.5714285714285714,0.14285714285714285,1.0,1,0.48863636363636365,csp_4_empirical,False,0.5,21,6,10/14,15,1,6,0,8
0.6,0.5803571428571428,0.2857142857142857,0.875,2,0.55,csp_4_empirical,False,0.5357142857142857,21,10,6/14,15,2,5,1,7
0.5333333333333333,0.5446428571428572,0.7142857142857143,0.375,3,0.5248868778280543,csp_4_empirical,False,0.5892857142857142,21,14,6/10,15,5,2,5,3
0.75,0.6666666666666666,0.3333333333333333,1.0,1,0.6666666666666667,csp_4_empirical,True,0.4666666666666666,21,6,10/14,8,1,2,0,5
0.5333333333333333,0.5267857142857143,0.42857142857142855,0.625,2,0.5248868778280543,csp_4_empirical,True,0.5,21,10,6/14,15,3,4,3,5
0.6,0.6071428571428572,0.7142857142857143,0.5,3,0.5982142857142857,csp_4_empirical,True,0.6785714285714285,21,14,6/10,15,5,2,4,4
0.4666666666666667,0.4642857142857143,0.5,0.42857142857142855,1,0.4642857142857143,spectral_baseline_6,False,0.5714285714285714,22,6,10/14,15,4,4,4,3
0.4666666666666667,0.4732142857142857,0.375,0.5714285714285714,2,0.4642857142857143,spectral_baseline_6,False,0.4642857142857142,22,10,6/14,15,3,5,3,4
0.4666666666666667,0.4375,0.875,0.0,3,0.3181818181818182,spectral_baseline_6,False,0.625,22,14,6/10,15,7,1,7,0
0.5,0.5,0.5,0.5,1,0.49743589743589745,spectral_baseline_6,True,0.5625,22,6,10/14,14,4,4,3,3
0.5,0.47916666666666663,0.625,0.3333333333333333,2,0.47593582887700536,spectral_baseline_6,True,0.4375,22,10,6/14,14,5,3,4,2
0.5384615384615384,0.4375,0.875,0.0,3,0.35,spectral_baseline_6,True,0.625,22,14,6/10,13,7,1,5,0
0.6666666666666666,0.6607142857142857,0.75,0.5714285714285714,1,0.660633484162896,csp_4_empirical,False,0.6607142857142857,22,6,10/14,15,6,2,3,4
0.8666666666666667,0.8660714285714286,0.875,0.8571428571428571,2,0.8660714285714286,csp_4_empirical,False,0.8214285714285714,22,10,6/14,15,7,1,1,6
0.6666666666666666,0.6785714285714286,0.5,0.8571428571428571,3,0.660633484162896,csp_4_empirical,False,0.8571428571428572,22,14,6/10,15,4,4,1,6
0.5,0.5416666666666667,0.25,0.8333333333333334,1,0.47593582887700536,csp_4_empirical,True,0.5833333333333334,22,6,10/14,14,2,6,1,5
0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,2,0.8444444444444444,csp_4_empirical,True,0.8958333333333334,22,10,6/14,14,8,0,2,4
0.7692307692307693,0.775,0.75,0.8,3,0.7636363636363637,csp_4_empirical,True,0.875,22,14,6/10,13,6,2,1,4
0.7333333333333333,0.7321428571428572,0.75,0.7142857142857143,1,0.7321428571428572,spectral_baseline_6,False,0.6964285714285714,23,6,10/14,15,6,2,2,5
