subject,baseline_model,csp_model,baseline_balanced_accuracy,csp_balanced_accuracy,csp_minus_baseline_balanced_accuracy,baseline_qc_balanced_accuracy,csp_qc_balanced_accuracy,qc_csp_minus_baseline_balanced_accuracy,csp_folds_above_chance_count,csp_fold_range,csp_fists_recall,csp_feet_recall,qc_candidate_count,matched_subject_and_trials
21,spectral_baseline_6,csp_4_empirical,0.44940476190476186,0.5654761904761905,0.1160714285714286,0.44146825396825395,0.6001984126984127,0.15873015873015872,3,0.03571428571428559,0.75,0.38095238095238093,7,True
22,spectral_baseline_6,csp_4_empirical,0.4583333333333333,0.7351190476190478,0.27678571428571447,0.47222222222222215,0.7166666666666667,0.24444444444444452,3,0.2053571428571429,0.7619047619047619,0.7083333333333334,4,True
23,spectral_baseline_6,csp_4_empirical,0.5982142857142857,0.5178571428571429,-0.0803571428571428,0.5873015873015873,0.6626984126984127,0.07539682539682535,2,0.044642857142857206,0.17391304347826086,0.8636363636363636,6,True
24,spectral_baseline_6,csp_4_empirical,0.44345238095238093,0.44940476190476186,0.005952380952380931,0.44345238095238093,0.44940476190476186,0.005952380952380931,1,0.31249999999999994,0.18181818181818182,0.6956521739130435,0,True
25,spectral_baseline_6,csp_4_empirical,0.7321428571428571,0.7559523809523809,0.023809523809523836,0.7468253968253968,0.8482142857142857,0.10138888888888886,3,0.0982142857142857,0.75,0.7619047619047619,8,True
26,spectral_baseline_6,csp_4_empirical,0.5238095238095238,0.5,-0.023809523809523836,0.4583333333333333,0.5416666666666666,0.08333333333333331,0,0.0,0.6666666666666666,0.3333333333333333,4,True
27,spectral_baseline_6,csp_4_empirical,0.48809523809523814,0.6577380952380952,0.1696428571428571,0.5128968253968255,0.7063492063492064,0.19345238095238093,3,0.1964285714285714,0.5909090909090909,0.7391304347826086,8,True
28,spectral_baseline_6,csp_4_empirical,0.5625,0.574404761904762,0.011904761904761973,0.5470238095238096,0.48273809523809524,-0.06428571428571433,2,0.19642857142857145,0.5217391304347826,0.5909090909090909,6,True
29,spectral_baseline_6,csp_4_empirical,0.8690476190476191,0.9791666666666666,0.11011904761904756,0.8412698412698413,0.9484126984126985,0.1071428571428572,3,0.0625,1.0,0.9565217391304348,8,True
30,spectral_baseline_6,csp_4_empirical,0.5714285714285713,0.6607142857142857,0.08928571428571441,0.515079365079365,0.6047619047619047,0.0896825396825397,3,0.125,0.75,0.5714285714285714,8,True
